order_id,customer_id,order_date,product_id,product_category,quantity,unit_price,discount,tax,shipping_cost,order_amount,payment_method,order_status,sales_region
1,194,2025-10-07,118,Electronics,5,238.26,29.08,13.92,11.24,412.76,Cash,Pending,East
2,489,2025-04-02,275,Home,3,37.46,20.76,22.65,15.24,661.1,UPI,Returned,West
3,729,2025-02-26,162,Home,1,235.95,34.14,9.95,1.61,339.55,UPI,Completed,East
3,729,2025-02-26,162,Home,1,235.95,34.14,9.95,1.61,339.55,UPI,Completed,East
5,311,2025-06-24,165,Home,1,261.3,41.89,11.08,1.39,833.33,Cash,Completed,South
6,559,2025-05-18,230,Electronics,4,7.69,3.82,27.11,5.11,896.67,UPI,Cancelled,West
7,84,2025-04-10,259,Home,5,133.14,29.3,20.82,7.8,712.78,UPI,Returned,North
8,458,2025-07-09,235,Home,3,93.93,28.73,16.87,5.02,14.46,Card,Cancelled,South
9,71,2025-08-16,295,Books,3,45.23,12.59,14.63,12.37,583.55,Cash,Pending,South
10,438,2026-04-15,268,Home,5,265.3,6.61,15.07,13.02,312.91,Cash,Completed,East
11,729,2025-03-24,117,Books,4,185.2,18.08,5.31,8.19,107.08,Cash,Cancelled,East
12,667,2025-11-01,145,Home,1,91.27,1.47,14.11,15.3,586.89,UPI,Pending,East
13,1004,2025-11-24,168,Books,3,293.73,7.99,12.07,10.58,-38.36,Card,Cancelled,South
14,269,2025-08-31,106,Books,1,177.91,47.56,7.9,5.33,863.93,Card,Returned,East
15,533,2026-05-06,224,Books,3,195.13,36.98,6.94,18.04,340.37,UPI,Returned,South
16,472,2025-11-18,134,Books,2,46.62,28.21,18.67,4.79,652.54,Cash,Cancelled,East
17,302,2025-02-14,284,Electronics,4,232.17,31.53,17.56,2.17,126.74,Cash,Pending,North
18,475,2026-03-17,264,Home,5,140.99,28.17,17.31,8.47,170.79,UPI,Completed,North
19,308,2025-03-18,104,Electronics,4,296.69,18.72,28.64,1.17,117.13,UPI,Pending,South
20,266,2025-12-21,205,Electronics,1,143.34,32.3,20.99,4.99,697.71,Card,Cancelled,South
21,151,2025-02-20,121,Electronics,3,230.85,41.19,1.64,16.09,427.4,UPI,Cancelled,North
22,114,2025-09-19,182,Books,4,217.95,7.31,8.48,1.4,558.03,Card,Returned,North
23,272,2025-04-05,119,Books,4,104.78,7.98,9.61,17.3,75.71,Cash,Cancelled,West
24,379,2025-08-05,238,Electronics,2,157.17,18.92,4.83,4.77,864.35,UPI,Pending,North
25,543,2025-12-27,203,Electronics,2,67.02,39.2,22.35,7.94,924.93,Cash,Completed,North
26,706,2025-10-07,235,Books,1,23.62,14.23,17.08,16.88,38.31,Card,Pending,West
27,884,2025-12-08,115,Books,4,202.21,8.98,10.33,19.81,326.59,UPI,Pending,East
28,15,2025-03-25,197,Books,5,169.82,26.51,6.71,17.56,927.35,Cash,Returned,West
29,542,2025-09-06,186,Books,2,194.08,38.65,18.52,12.37,781.21,Card,Returned,West
30,370,2025-09-22,180,Home,1,185.16,29.32,3.17,13.38,768.71,Card,Returned,East
31,926,2025-05-02,109,Home,2,146.18,14.77,28.61,8.44,705.96,UPI,Completed,West
32,181,2025-02-23,250,Home,3,255.3,19.9,24.3,9.37,820.38,UPI,Cancelled,North
33,584,2026-04-22,289,Electronics,3,130.0,34.99,6.75,8.69,651.14,Card,Returned,South
34,1020,2026-03-08,164,Electronics,2,49.42,27.33,18.54,17.57,733.91,UPI,Cancelled,East
35,703,2025-03-07,154,Books,3,178.48,38.12,13.77,12.64,680.58,Card,Returned,South
36,308,2026-02-05,212,Books,1,171.74,20.96,17.22,8.96,321.91,Card,Cancelled,North
37,704,2025-06-15,212,Books,3,272.85,19.4,5.82,18.32,727.87,Cash,Completed,East
38,543,2025-12-27,286,Books,3,81.75,16.28,6.78,5.36,88.21,UPI,Cancelled,East
39,58,2025-09-09,164,Home,1,146.09,41.88,7.38,3.46,22.14,Card,Pending,East
40,969,2025-03-15,175,Home,2,148.44,42.18,1.05,10.58,944.28,Card,Completed,East
41,533,2026-04-29,299,Electronics,2,116.62,4.78,8.22,2.57,850.59,UPI,Returned,East
42,454,2025-11-05,200,Books,5,122.61,10.13,24.31,13.89,797.75,Card,Returned,East
43,404,2025-04-28,114,Electronics,1,176.61,35.31,7.81,9.39,947.72,Cash,Cancelled,West
44,655,2025-02-17,247,Electronics,3,168.03,44.93,5.73,0.93,40.65,Card,Pending,West
45,977,2026-01-22,287,Books,2,232.69,24.19,21.09,12.88,630.53,Cash,Cancelled,East
46,109,2025-05-24,222,Electronics,4,186.5,40.28,22.06,3.1,405.61,Card,Returned,North
47,930,2025-02-06,173,Home,3,79.84,29.27,12.73,3.26,133.57,UPI,Pending,South
48,880,2026-05-14,276,Electronics,5,269.09,25.89,26.89,6.77,868.63,UPI,Cancelled,West
49,199,2026-03-31,251,Books,3,150.27,20.45,1.13,11.57,-31.38,UPI,Returned,North
50,1016,2025-08-19,119,Books,1,7.46,37.34,5.59,16.04,497.18,UPI,Completed,North
